设置,样本数,Accuracy,Macro-F1,Valid Choice Rate,Empty Prediction Rate
0.0,1221,0.6871,0.6902,0.9918,0.0082
0.05,1221,0.6953,0.6955,0.9992,0.0008
0.1,1221,0.6962,0.6964,0.9992,0.0008
0.2,1221,0.6364,0.6314,1.0000,0.0000
0.3,1221,0.6519,0.6494,0.9984,0.0016
